"Data Source","World Development Indicators",

"Last Updated Date","2023-07-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Azerbaijan","AZE","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.1747817993164","","","","","","","","99.3839416503906","","99.6821517944336","99.692626953125","99.704963684082","99.7028579711914","99.7168197631836","99.7196578979492","99.7171401977539","99.7195510864258","99.7219924926758","","99.7267532348633","","","",
"Burundi","BDI","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","11.983570098877","","","","","","","","","","","27.5293006896973","","","","","","","","","","52.2377586364746","","","","","","","","43.1571884155273","","","","","","54.641658782959","","","61.223690032959","","","","68.379997253418","",
"Belgium","BEL","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","9.53896045684814","","","","","","","","","","","","","16.5651206970215","","","","","","","","","","23.3001403808594","","","","18.4429092407227","","","","","","22.093879699707","","","","","","31.0716495513916","","","35","",
"Burkina Faso","BFA","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","3.39058995246887","","","","","","","","","","","","","","","","8.22542953491211","","","","","8.05797958374023","","","","","","","15.1887702941895","","16.6222400665283","16.291130065918","21.0272197723389","","","","","","","26.2202491760254","","","","31.0440807342529","","","37.810001373291","",
"Bangladesh","BGD","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","17.9716300964355","","","","","","","","","","25.8389797210693","","","","","","","","","","40.8233489990234","","","","","","43.7408485412598","","","","55.1194381713867","54.2360382080078","57.7890014648438","57.8609313964844","62.2529907226563","69.8972091674805","70.0857009887695","71.1819381713867","71.9483871459961","72.0047836303711","","",
"Bulgaria","BGR","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.7064895629883","","","","","","","","","","97.9839019775391","","","","","","","","","","98.1699981689453","",
"Bahrain","BHR","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","58.5910911560059","","","","","","","","","","76.9323196411133","","","","","","","","","","83.5574188232422","","","","","","","","","89.0104370117188","90.6999969482422","","","","","","","","","","","",
"Bahamas, The","BHS","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.9593276977539","","","","","","","","","94.3599395751953","","","","","","","","","","","96.8037109375","","94.9104919433594","","","","","","","","96.8600006103516","",
