"Data Source","World Development Indicators",

"Last Updated Date","2023-07-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Belarus","BLR","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.3841781616211","","","","","","","","","","99.792106628418","","","","","","","","","","99.7636871337891","","","","","","","","","","99.8709564208984","","","",
"Belize","BLZ","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.2687683105469","","","","","","","","","76.6837310791016","80.4000015258789","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","75.842887878418","","","","","","","","","","","","","","","","88.1555862426758","","","","","","","","","93.0574722290039","","","","","","96.036262512207","94.9554290771484","95.8036422729492","","96.6010513305664","97.107048034668","","","96.5227508544922","","","","","97.4442825317383","","",
"Brazil","BRA","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","76.3773574829102","","","","","","","","","","","","","","","","","","","","86.2279815673828","","","","88.4094619750977","","89.3532409667969","89.7721405029297","89.8378677368164","90.1748428344727","90.0561828613281","91.1689834594727","91.0256729125977","91.1779632568359","91.3667678833008","91.7251586914063","92.5751571655273","92.8915328979492","93.0090408325195","","","94.0999984741211","",
"Barbados","BRB","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","99.2872314453125","","","","","","","","","","99.5","","","","99.5999984741211","","","","","","","","","","99.5999984741211","","","","","","","","","","99.5999984741211","","","","","","","","","","99.5999984741211","","","","","","","","",
"Brunei Darussalam","BRN","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","85.1368103027344","","","","","","","","","","92.4521865844727","","","","","","","","","","95.1504211425781","","","","","","","","","","97.4281616210938","","","","","","","98.0536193847656","","","98.2600021362305","",
"Bhutan","BTN","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.0477828979492","","","","","","","66.003059387207","","","","","75.0198516845703","","","","77.879997253418","",
"Botswana","BWA","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.3869400024414","","","","","","","","","","","","80.4301071166992","","","","","","","","","","86.1221389770508","","","","","","","","","",
"Central African Republic","CAF","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","29.5929203033447","","","","","","","","","","","","","48.0203018188477","","","","","","","","","","","","66.7895278930664","","","","","","","","","","50.7127113342285","","","","","","","","49.514591217041","","49.2299995422363","","",
"Canada","CAN","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","98.8112030029297","98.8273773193359","98.8667068481445","98.8879470825195","98.9003601074219","98.9202880859375","98.9140777587891","98.9384613037109","98.9740524291992","98.9935989379883","99.0356216430664","99.063102722168","99.0913009643555","99.1202926635742","99.143669128418","99.1576995849609","99.2084197998047","99.1387405395508","99.2021408081055","99.2174224853516","99.2265396118164","99.2297515869141","99.2355117797852","99.2450332641602","99.2306213378906","99.2355804443359","99.2590179443359","99.4022979736328","99.4166717529297","99.4297103881836","99.4351501464844","99.4351196289063","99.4400634765625","99.4442291259766","99.4522933959961","99.457893371582","99.4609909057617","99.4647521972656","99.467529296875","","",
"Switzerland","CHE","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Channel Islands","CHI","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","91.4805374145508","","","","","","","","","","94.5630722045898","","","","","","","","","","95.7964096069336","","","","","","97.7024993896484","97.8893585205078","","96.8987808227539","","96.3880081176758","","97.0246887207031","","96.4806289672852","","","","97.1100006103516","",
"China","CHN","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","79.191780090332","","","","","","","","87.0249786376953","","","","","","","","","","95.1352462768555","","","","","","","","","","97.4794616699219","","","","","","","","98.4665374755859","","98.629997253418","","",
"Cote d'Ivoire","CIV","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.3635406494141","","","","","","","","","","43.946418762207","","60.8606605529785","","","","","","","","","","","","51.5926704406738","","50.7019004821777","","","","","93.1413497924805","","","",
"Cameroon","CMR","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","54.6298484802246","","","","","","","","","","","","","","","","","","","","","","","","79.1945190429688","","","","","","","78.9499588012695","","","78.3276901245117","","","","","","","","82.6280364990234","","83.4000015258789","","",
"Congo, Dem. Rep.","COD","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.9232406616211","","","","","","76.9156875610352","","","","","87.9083862304688","","","","88.5246887207031","","","","","89.4700012207031","",
"Congo, Rep.","COG","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","71.3291168212891","","","","","","","","","","","","","","","","","","","","","86.0498275756836","","","","","","86.4343109130859","","","","","","","86.0765075683594","","","85.9400024414063","",
"Colombia","COL","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.97265625","","","91.0891036987305","","","","","","","","92.9041213989258","92.777946472168","92.3927993774414","92.4297027587891","93.3168792724609","93.0625381469727","93.2501907348633","93.4882583618164","","","93.8674011230469","94.0631713867188","94.4022827148438","","94.8518295288086","95.0158920288086","95.3825225830078","","",
"Comoros","COM","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","55.9770393371582","","","","","","","","","","","","","","","","","","","","74.5140380859375","","","","","","","","","","","","56.4798011779785","","","","","","64.6442031860352","","","67.0100021362305","",
"Cabo Verde","CPV","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.7592697143555","","","","","","","","","","83.8376083374023","","","","","","","","","","","","90.4745025634766","","","91.6914367675781","","","","","","94.1600036621094","",
